   0.682   0.071   0.714
   0.682   0.214   0.714
   0.682   0.500   0.714
   0.682   0.643   0.714
   0.682   0.929   0.714
   0.682   1.071   0.714
   0.682   1.357   0.714
   0.682   1.500   0.714
   0.682   1.786   0.714
   0.682   1.929   0.714
   0.682   2.214   0.714
   0.682   2.357   0.714
   0.682   2.643   0.714
   0.682   2.786   0.714
   0.682   0.000   0.837
   0.682   0.286   0.837
   0.682   0.429   0.837
   0.682   0.714   0.837
   0.682   0.857   0.837
   0.682   1.143   0.837
   0.682   1.286   0.837
   0.682   1.571   0.837
   0.682   1.714   0.837
   0.682   2.000   0.837
   0.682   2.143   0.837
   0.682   2.429   0.837
   0.682   2.571   0.837
   0.682   2.857   0.837
