   0.000   0.000   0.099
   0.000   0.286   0.099
   0.000   0.429   0.099
   0.000   0.714   0.099
   0.000   0.857   0.099
   0.000   1.143   0.099
   0.000   1.286   0.099
   0.000   1.571   0.099
   0.000   1.714   0.099
   0.000   2.000   0.099
   0.000   2.143   0.099
   0.000   2.429   0.099
   0.000   2.571   0.099
   0.000   2.857   0.099
   0.000   0.071   0.222
   0.000   0.214   0.222
   0.000   0.500   0.222
   0.000   0.643   0.222
   0.000   0.929   0.222
   0.000   1.071   0.222
   0.000   1.357   0.222
   0.000   1.500   0.222
   0.000   1.786   0.222
   0.000   1.929   0.222
   0.000   2.214   0.222
   0.000   2.357   0.222
   0.000   2.643   0.222
   0.000   2.786   0.222
